id:ID,description,failure_case,:LABEL
Risk_1,선행공구 토공구간 교량화 민원 등에 따른 공기 지연,‘18.11 대법원 판결(차수별 기간 内 청구만 인정)로 발주처 협의 부정적,Risk
Risk_2,하도급사 부도징후 사전파악 실패,토공 및 구조물 하도급사 부도 타절로 인한 미체불금액 발생,Risk
Risk_3,지반조사 부족 및 과다설계 논란,발주처의 과다설계 문제점 제기 및 전면 재설계 요구,Risk
Risk_4,부벽식 옹벽 시공 시 인접 운행선 변위 위험 및 작업효율 저하,연약지반 내 구조물 설치 지연 및 민원 발생 위험,Risk
Risk_5,입찰 검토 시 투찰오류로 인한 준공 시 적자 예상,하도업체 선정 시 적자 발생 의견 제출에도 최저가 업체 계약 진행,Risk
Risk_6,봉천교 설계 및 준공도서 부재,설계도서 없어 시공 및 안전 리스크 증대 (말뚝기초 절단 위험),Risk
Risk_7,보상지연에 따른 공기연장 (50개월 -> 68개월),대법원 판결에 따라 차수별 기간 내 청구만 인정되어 난항 예상,Risk
Risk_8,화리현터널 저토피구간 지표침하 발생,상반굴착 중 지표침하 54mm 발생으로 인한 강지보 보강 및 굴착 중지,Risk
Risk_9,입찰 시 반영된 특허공법의 비효율성,특허공법 사용 시 원가율 및 시공성 불량 우려,Risk
Risk_10,당초 설계와 상이한 터널 지질조건 (대규모 단층파쇄대),굴착 진행 불가 및 사갱 접속부 대규모 붕락 발생,Risk
