id:ID,content,:LABEL
Lesson_1,운행선 공사 시 신설공사와 달리 추가 RISK 검토 절차 필요,LessonLearned
Lesson_2,하도급사 부도징후 및 미체불관리 철저,LessonLearned
Lesson_3,충분한 지반조사 후 터널보조공법 선정 필요,LessonLearned
Lesson_4,현장여건에 따른 공정지연요소 분석 및 적자공종 배제한 공법선정,LessonLearned
Lesson_5,입찰경험 및 유사현장 경험있는 입찰조직 구성,LessonLearned
Lesson_6,설계단계부터 기존 구조물 및 지장물 철저 현황조사 수행,LessonLearned
Lesson_7,보상 대상물 및 인허가 등 공기지연요소 사전파악 후 설계반영 필요,LessonLearned
Lesson_8,설계 시 충분한 지반조사를 통한 지반여건 파악 필요,LessonLearned
Lesson_9,특허 이외 원가개선 일반공법 적용성 적극 검토 필요,LessonLearned
Lesson_10,충분한 지반조사 수량 및 조사항목 반영 필요,LessonLearned
